,shapiq,pointbiserialr_r_pb,function,type,dataset,mehtod,ascending
0,0.06199138559262296,-0.32306513283217214,ScaleFeature,forest,Dataset 1: GSE67835 Brain,SVM,
1,0.052725709354838515,0.2964479569031893,HighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
2,0.04915080279219833,-0.1284426993461313,NormalizeTotal,forest,Dataset 1: GSE67835 Brain,SVM,
3,0.0465093052386907,-0.20218582818512762,NormalizePlaceHolder,forest,Dataset 1: GSE67835 Brain,SVM,
4,0.02956942582164646,-0.2151240938031801,FilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
5,0.023937298888356426,,NormalizePlaceHolderxNormalizeTotal,forest,Dataset 1: GSE67835 Brain,SVM,
6,0.023694349243871045,-0.12760773960544222,ScaleFeaturexHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
7,0.02223343127586053,0.05808559663615508,ScTransformxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
8,0.022216774276551422,,NormalizeTotalxScaleFeature,forest,Dataset 1: GSE67835 Brain,SVM,
9,0.018887267639392427,,NormalizePlaceHolderxScaleFeature,forest,Dataset 1: GSE67835 Brain,SVM,
10,0.016816791726029415,-0.16018337016431763,HighlyVariableGenesLogarithmizedByMeanAndDisp,forest,Dataset 1: GSE67835 Brain,SVM,
11,0.016326982141885462,0.20465392032956292,ScTransformxWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
12,0.015420314078677295,0.23896355196422056,ScTransformxWeightedFeaturePCA,forest,Dataset 1: GSE67835 Brain,SVM,
13,0.01506137525623798,0.2659344650576568,ScTransform,forest,Dataset 1: GSE67835 Brain,SVM,
14,0.015060105015749236,-0.12670485549075325,NormalizeTotalxFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
15,0.013742003353472846,-0.09437047491046473,HighlyVariableGenesLogarithmizedByTopGenes,forest,Dataset 1: GSE67835 Brain,SVM,
16,0.01371010196211355,0.06109521489027908,ScTransformxFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
17,0.013007785752187579,0.21187700191147252,NormalizeTotalxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
18,0.011546399938363608,0.2540116290004726,ScTransformxFilterGenesRegression,forest,Dataset 1: GSE67835 Brain,SVM,
19,0.011278903573595577,,NormalizeTotalxScTransform,forest,Dataset 1: GSE67835 Brain,SVM,
20,0.010856808646682939,,NormalizePlaceHolderxNormalizeTotalxScaleFeature,forest,Dataset 1: GSE67835 Brain,SVM,
21,0.010829176360418904,,NormalizeTotalxScTransformxFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
22,0.01001009371227843,-0.13061735662179508,ScaleFeaturexFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
23,0.009839823143118884,-0.024954615224237062,ScTransformxFilterGenesTopKxWeightedFeaturePCA,forest,Dataset 1: GSE67835 Brain,SVM,
24,0.00958963704654126,,NormalizePlaceHolderxNormalizeTotalxFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
25,0.009453126534049994,-0.0140521149182439,ScTransformxFilterGenesTopKxWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
26,0.009443175678952495,0.17696545207218317,NormalizePlaceHolderxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
27,0.009389905472699456,-0.05597886767472932,NormalizePlaceHolderxWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
28,0.009072057620548036,,NormalizeTotalxScaleFeaturexFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
29,0.00902743698888144,-0.11797696663843835,NormalizePlaceHolderxFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
30,0.008819033970134959,,NormalizePlaceHolderxScTransformxFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
31,0.008741112231728436,0.20251703110064748,FilterGenesPlaceHolderxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
32,0.00870170042008146,,NormalizePlaceHolderxScTransform,forest,Dataset 1: GSE67835 Brain,SVM,
33,0.008492497517527531,-0.07644425930128411,NormalizeTotalxWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
34,0.008334113943963519,,ScTransformxScaleFeaturexFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
35,0.007662339238244655,,FilterGenesTopKxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
36,0.0072982915807528765,,NormalizeTotalxScTransformxWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
37,0.007280730774327888,0.13494873804152,NormalizePlaceHolderxHighlyVariableGenesRawCountxWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
38,0.007133697428780305,-0.1793731433747594,NormalizeTotalxHighlyVariableGenesLogarithmizedByTopGenes,forest,Dataset 1: GSE67835 Brain,SVM,
39,0.007119503769988159,,NormalizePlaceHolderxScTransformxWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
40,0.007098204372814443,-0.052186438050566615,WeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
41,0.0069835148296024585,,ScTransformxScaleFeature,forest,Dataset 1: GSE67835 Brain,SVM,
42,0.006828796686371443,,NormalizePlaceHolderxNormalizeTotalxScTransform,forest,Dataset 1: GSE67835 Brain,SVM,
43,0.006659289833183241,,NormalizePlaceHolderxScaleFeaturexFilterGenesTopK,forest,Dataset 1: GSE67835 Brain,SVM,
44,0.006654537139855451,,NormalizeTotalxScTransformxScaleFeature,forest,Dataset 1: GSE67835 Brain,SVM,
45,0.006467106674729033,,NormalizePlaceHolderxNormalizeTotalxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
46,0.006442033603219309,,NormalizeTotalxScaleFeaturexHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
47,0.006401709728718666,,ScTransformxScaleFeaturexWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
48,0.006133337739261734,-0.1793731433747594,NormalizeTotalxHighlyVariableGenesLogarithmizedByMeanAndDisp,forest,Dataset 1: GSE67835 Brain,SVM,
49,0.005831153176266346,0.015076082509789169,WeightedFeaturePCA,forest,Dataset 1: GSE67835 Brain,SVM,
50,0.005451355675043326,,NormalizePlaceHolderxNormalizeTotalxWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
51,0.005450721583785201,,NormalizePlaceHolderxScaleFeaturexWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
52,0.005330685571406598,,NormalizePlaceHolderxScTransformxScaleFeature,forest,Dataset 1: GSE67835 Brain,SVM,
53,0.005254288901999571,0.007902653353885321,FilterGenesPlaceHolderxScTransformxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
54,0.005146112420922309,,NormalizeTotalxScaleFeaturexWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
55,0.005138299960684548,0.13785607105788317,NormalizePlaceHolderxHighlyVariableGenesRawCountxWeightedFeaturePCA,forest,Dataset 1: GSE67835 Brain,SVM,
56,0.005118813665530531,0.17437378751402,FilterGenesPlaceHolderxNormalizeTotalxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
57,0.005089801457326,-0.12881158591687492,ScaleFeaturexWeightedFeatureSVD,forest,Dataset 1: GSE67835 Brain,SVM,
58,0.004938516698038133,,NormalizePlaceHolderxScaleFeaturexHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
59,0.0048393027196599785,-0.1294135103103624,NormalizeTotalxFilterGenesRegression,forest,Dataset 1: GSE67835 Brain,SVM,
60,0.0047163252209096685,-0.1060746205010201,FilterGenesTopKxWeightedFeaturePCA,forest,Dataset 1: GSE67835 Brain,SVM,
61,0.0046710265144114475,0.16870449336715648,FilterGenesPlaceHolderxNormalizePlaceHolderxHighlyVariableGenesRawCount,forest,Dataset 1: GSE67835 Brain,SVM,
